rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
99,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold8_long_only_volume>1.4xSMA30,1h,48,62.50,6969.64,69.70,6159.54,61.60,3.63,3.08,1.122,-767.24,5,17.50,volume>1.4xSMA30,99.60
100,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop0.7_target3_hold32_long_only_volume>1.4xSMA30,1h,42,57.14,6963.95,69.64,6276.07,62.76,3.71,3.18,1.286,-1046.58,7,20.67,volume>1.4xSMA30,78.71
101,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop0.7_target3_hold64_long_only_volume>1.4xSMA30,1h,42,57.14,6963.95,69.64,6276.07,62.76,3.71,3.18,1.286,-1046.58,7,20.67,volume>1.4xSMA30,78.71
102,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold16_all_none,1h,102,39.22,6962.22,69.62,5408.13,54.08,1.82,1.57,0.538,-1332.48,7,20.81,none,29.11
103,PEPEUSDT,range_expansion_breakout,ch12_rng1.6_stop0.7_target3_hold32_long_only_volume>1.4xSMA30,1h,46,54.35,6953.90,69.54,6187.41,61.87,3.26,2.80,1.174,-1067.19,7,20.90,volume>1.4xSMA30,68.20
104,PEPEUSDT,range_expansion_breakout,ch12_rng1.6_stop0.7_target3_hold64_long_only_volume>1.4xSMA30,1h,46,54.35,6953.90,69.54,6187.41,61.87,3.26,2.80,1.174,-1067.19,7,20.90,volume>1.4xSMA30,68.20
105,PEPEUSDT,range_expansion_breakout,ch12_rng1.1_stop0.7_target2.5_hold8_long_only_none,1h,69,52.17,6925.58,69.26,5678.36,56.78,2.40,2.02,0.780,-1170.49,6,17.98,none,55.38
106,PEPEUSDT,range_expansion_breakout,ch20_rng1.6_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,41,60.98,6913.34,69.13,6254.52,62.55,4.06,3.48,1.308,-890.88,6,20.68,volume>1.4xSMA30,98.42
107,PEPEUSDT,range_expansion_breakout,ch36_rng1.1_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,41,60.98,6913.34,69.13,6262.26,62.62,3.86,3.33,1.308,-1108.28,7,21.06,volume>1.4xSMA30,82.00
108,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold32_long_only_volume>1.4xSMA30,1h,48,60.42,6906.78,69.07,6098.39,60.98,3.47,2.94,1.115,-767.24,5,17.65,volume>1.4xSMA30,95.69
109,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold64_long_only_volume>1.4xSMA30,1h,48,60.42,6906.78,69.07,6098.39,60.98,3.47,2.94,1.115,-767.24,5,17.65,volume>1.4xSMA30,95.69
110,PEPEUSDT,range_expansion_breakout,ch12_rng1.6_stop0.7_target3_hold8_long_only_none,1h,49,55.10,6893.32,68.93,6060.73,60.61,3.13,2.68,1.094,-1222.90,8,20.93,none,51.45
111,PEPEUSDT,range_expansion_breakout,ch12_rng1.35_stop0.7_target3_hold8_long_only_none,1h,53,52.83,6883.32,68.83,5954.94,59.55,2.86,2.43,1.012,-1368.97,9,21.16,none,31.91
112,XRPUSDT,range_expansion_breakout,ch12_rng0.9_stop1_target3_hold64_all_none,1h,145,34.48,6873.48,68.73,4295.20,42.95,1.51,1.28,0.379,-1687.27,8,21.25,none,-2.20
113,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2.5_hold64_short_only_none,1h,128,41.41,6865.06,68.65,5092.46,50.92,1.66,1.44,0.424,-1264.31,7,18.62,none,22.82
114,PEPEUSDT,range_expansion_breakout,ch12_rng1.1_stop0.7_target2.5_hold32_long_only_none,1h,69,50.72,6862.89,68.63,5618.06,56.18,2.35,1.98,0.775,-1170.49,6,18.08,none,53.76
115,PEPEUSDT,range_expansion_breakout,ch12_rng1.1_stop0.7_target2.5_hold64_long_only_none,1h,69,50.72,6862.89,68.63,5618.06,56.18,2.35,1.98,0.775,-1170.49,6,18.08,none,53.76
116,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.8_target2.5_hold64_all_none,1h,178,38.20,6856.47,68.56,5079.22,50.79,1.50,1.34,0.308,-1918.58,8,18.88,none,6.61
117,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2_hold64_short_only_none,1h,131,47.33,6818.76,68.19,5010.53,50.11,1.72,1.48,0.409,-1053.64,6,14.55,none,35.35
118,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold32_all_none,1h,102,38.24,6813.92,68.14,5259.90,52.60,1.79,1.55,0.529,-1338.17,7,21.08,none,26.98
119,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold64_all_none,1h,102,38.24,6813.92,68.14,5259.90,52.60,1.79,1.55,0.529,-1338.17,7,21.08,none,26.98
120,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2.5_hold64_all_volume>1.5xSMA30,1h,81,49.38,6795.44,67.95,6144.92,61.45,2.43,2.21,0.657,-1054.58,10,17.65,volume>1.5xSMA30,17.16
121,PEPEUSDT,range_expansion_breakout,ch36_rng1.1_stop0.7_target3_hold32_long_only_none,1h,43,55.81,6794.31,67.94,6108.26,61.08,3.40,2.94,1.233,-1262.65,8,21.34,none,58.35
122,PEPEUSDT,range_expansion_breakout,ch36_rng1.1_stop0.7_target3_hold64_long_only_none,1h,43,55.81,6794.31,67.94,6108.26,61.08,3.40,2.94,1.233,-1262.65,8,21.34,none,58.35
123,PEPEUSDT,range_expansion_breakout,ch20_rng1.6_stop0.7_target3_hold32_long_only_none,1h,43,55.81,6794.31,67.94,6101.33,61.01,3.51,3.02,1.233,-1036.11,7,20.98,none,73.00
124,PEPEUSDT,range_expansion_breakout,ch20_rng1.6_stop0.7_target3_hold64_long_only_none,1h,43,55.81,6794.31,67.94,6101.33,61.01,3.51,3.02,1.233,-1036.11,7,20.98,none,73.00
125,PEPEUSDT,range_expansion_breakout,ch36_rng0.9_stop0.7_target3_hold32_long_only_volume>1.4xSMA30,1h,43,55.81,6794.31,67.94,6104.41,61.04,3.34,2.89,1.233,-1275.40,8,21.41,volume>1.4xSMA30,57.00
126,PEPEUSDT,range_expansion_breakout,ch36_rng0.9_stop0.7_target3_hold64_long_only_volume>1.4xSMA30,1h,43,55.81,6794.31,67.94,6104.41,61.04,3.34,2.89,1.233,-1275.40,8,21.41,volume>1.4xSMA30,57.00
127,PEPEUSDT,range_expansion_breakout,ch12_rng1.35_stop0.7_target3_hold32_long_only_volume>1.4xSMA30,1h,47,53.19,6784.36,67.84,5994.43,59.94,3.11,2.67,1.128,-1213.61,8,21.21,volume>1.4xSMA30,50.54
128,PEPEUSDT,range_expansion_breakout,ch12_rng1.35_stop0.7_target3_hold64_long_only_volume>1.4xSMA30,1h,47,53.19,6784.36,67.84,5994.43,59.94,3.11,2.67,1.128,-1213.61,8,21.21,volume>1.4xSMA30,50.54
129,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.5_target2.5_hold32_short_only_none,1h,102,47.06,6767.35,67.67,5444.37,54.44,1.95,1.70,0.522,-1104.48,5,18.55,none,57.07
130,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop0.7_target3_hold16_all_none,1h,80,42.50,6755.10,67.55,5581.46,55.81,2.11,1.83,0.666,-980.24,7,21.05,none,37.99
131,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold16_all_volume>1.4xSMA30,1h,80,42.50,6755.10,67.55,5536.55,55.37,2.08,1.79,0.666,-1022.11,7,21.19,volume>1.4xSMA30,36.66
132,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,42,59.52,6744.21,67.44,6062.06,60.62,3.82,3.26,1.253,-1034.21,7,20.99,volume>1.4xSMA30,78.56
133,PEPEUSDT,range_expansion_breakout,ch12_rng1.6_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,46,56.52,6734.29,67.34,5974.47,59.74,3.33,2.85,1.144,-1054.59,7,21.22,volume>1.4xSMA30,67.28
134,PEPEUSDT,range_expansion_breakout,ch12_rng1.1_stop0.7_target2.5_hold16_long_only_volume>1.4xSMA30,1h,54,57.41,6696.49,66.96,5775.95,57.76,2.95,2.50,0.969,-1079.19,7,18.16,volume>1.4xSMA30,56.65
135,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2.5_hold16_long_only_none,1h,61,54.10,6682.03,66.82,5666.99,56.67,2.68,2.28,0.857,-826.88,5,18.01,none,74.49
136,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target3_hold32_all_none,1h,91,39.56,6675.38,66.75,5188.52,51.89,1.91,1.63,0.582,-853.25,5,21.48,none,53.57
137,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target3_hold64_all_none,1h,91,39.56,6675.38,66.75,5188.52,51.89,1.91,1.63,0.582,-853.25,5,21.48,none,53.57
138,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2.5_hold16_long_only_volume>1.4xSMA30,1h,51,58.82,6620.00,66.20,5751.51,57.52,3.14,2.65,1.016,-848.28,5,18.11,volume>1.4xSMA30,84.74
139,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target3_hold8_long_only_none,1h,49,57.14,6612.32,66.12,6020.94,60.21,3.11,2.77,1.059,-781.28,5,21.53,none,90.51
140,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold16_all_none,1h,96,44.79,6609.92,66.10,5172.18,51.72,1.93,1.66,0.545,-824.58,6,18.06,none,42.14
141,XRPUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold32_all_none,1h,127,35.43,6586.74,65.87,3496.31,34.96,1.56,1.25,0.417,-2211.38,15,22.03,none,-96.20
142,XRPUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold64_all_none,1h,127,35.43,6586.74,65.87,3496.31,34.96,1.56,1.25,0.417,-2211.38,15,22.03,none,-96.20
143,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold16_all_volume>1.4xSMA30,1h,85,41.18,6577.73,65.78,5260.73,52.61,1.95,1.68,0.615,-1185.24,8,21.53,volume>1.4xSMA30,18.71
144,PEPEUSDT,range_expansion_breakout,ch20_rng1.6_stop0.7_target3_hold8_long_only_none,1h,43,58.14,6576.76,65.77,5889.60,58.90,3.60,3.09,1.201,-1023.87,7,21.31,none,72.52
145,PEPEUSDT,range_expansion_breakout,ch36_rng1.1_stop0.7_target3_hold8_long_only_none,1h,43,58.14,6576.76,65.77,5896.99,58.97,3.49,3.00,1.201,-1247.73,8,21.77,none,57.87
146,PEPEUSDT,range_expansion_breakout,ch36_rng0.9_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,43,58.14,6576.76,65.77,5893.42,58.93,3.42,2.95,1.201,-1260.34,8,21.84,volume>1.4xSMA30,56.43
147,PEPEUSDT,range_expansion_breakout,ch12_rng1.35_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,47,55.32,6566.95,65.67,5783.98,57.84,3.17,2.70,1.098,-1199.28,8,21.55,volume>1.4xSMA30,49.41
148,PEPEUSDT,range_expansion_breakout,ch12_rng1.1_stop0.7_target2.5_hold8_long_only_volume>1.4xSMA30,1h,54,57.41,6541.41,65.41,5621.28,56.21,2.91,2.46,0.951,-1079.19,7,18.36,volume>1.4xSMA30,54.13
149,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.5_target2_hold64_short_only_none,1h,100,51.00,6538.20,65.38,5256.76,52.57,2.03,1.75,0.515,-1036.06,4,14.92,none,68.76
150,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold32_all_volume>1.4xSMA30,1h,80,41.25,6537.98,65.38,5323.74,53.24,2.02,1.75,0.650,-1022.11,7,21.61,volume>1.4xSMA30,33.39
