rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
230,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target1.5_hold8_long_only_none,1h,60,63.33,4115.10,41.15,3214.87,32.15,2.48,2.03,0.583,-458.14,3,15.13,none,56.79
231,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target1.5_hold16_long_only_none,1h,60,63.33,4115.10,41.15,3214.87,32.15,2.48,2.03,0.583,-458.14,3,15.13,none,56.79
232,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target1.5_hold32_long_only_none,1h,60,63.33,4115.10,41.15,3214.87,32.15,2.48,2.03,0.583,-458.14,3,15.13,none,56.79
233,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target1.5_hold64_long_only_none,1h,60,63.33,4115.10,41.15,3214.87,32.15,2.48,2.03,0.583,-458.14,3,15.13,none,56.79
234,XRPUSDT,atr_squeeze_continuation,ch20_cmp1_stop1.5_target2.5_hold96_all_volume>1.25xSMA30,1h,53,47.17,3992.07,39.92,3462.08,34.62,2.16,1.93,0.651,-512.87,4,25.62,volume>1.25xSMA30,56.65
235,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop1.1_target3_hold8_all_volume>1.5xSMA30,1h,92,52.17,4231.84,42.32,3674.53,36.75,2.08,1.88,0.394,-845.57,4,28.28,volume>1.5xSMA30,56.60
236,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop1.1_target3_hold8_short_only_volume>1.5xSMA30,1h,55,56.36,3534.49,35.34,3184.21,31.84,2.81,2.52,0.562,-466.17,5,31.78,volume>1.5xSMA30,56.57
237,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target1.5_hold8_long_only_none,1h,56,64.29,3594.32,35.94,3011.70,30.12,2.42,2.10,0.557,-528.93,3,16.65,none,56.18
238,PEPEUSDT,range_expansion_breakout,ch12_rng1.6_stop1_target2_hold32_long_only_none,1h,49,55.10,3682.92,36.83,3173.78,31.74,2.32,2.05,0.653,-789.99,4,21.66,none,55.98
239,PEPEUSDT,range_expansion_breakout,ch12_rng1.6_stop1_target2_hold64_long_only_none,1h,49,55.10,3682.92,36.83,3173.78,31.74,2.32,2.05,0.653,-789.99,4,21.66,none,55.98
240,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop1.7_target2.5_hold8_long_only_none,1h,44,61.36,3579.41,35.79,3290.76,32.91,2.70,2.48,0.709,-728.47,5,27.61,none,55.98
241,XRPUSDT,atr_squeeze_continuation,ch20_cmp1_stop1.1_target3.5_hold96_all_volume>1.25xSMA30,1h,55,38.18,4633.36,46.33,3817.94,38.18,2.03,1.77,0.718,-600.27,4,32.89,volume>1.25xSMA30,55.82
242,XRPUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target3_hold64_all_none,1h,75,40.00,4777.59,47.78,4080.45,40.80,1.86,1.68,0.540,-930.67,4,26.69,none,55.60
243,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2.5_hold32_long_only_volume>1.4xSMA30,1h,34,55.88,3249.82,32.50,3039.57,30.40,2.74,2.55,0.845,-597.34,5,29.62,volume>1.4xSMA30,55.58
244,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2_hold8_long_only_volume>1.4xSMA30,1h,54,59.26,4915.76,49.16,4051.21,40.51,2.61,2.18,0.754,-1010.73,5,17.76,volume>1.4xSMA30,55.58
