rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
78,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop1.1_target1.5_hold12_short_only_volume>1.25xSMA30,1h,10,90.00,1319.56,13.20,1079.24,10.79,14.00,8.96,1.250,-101.50,1,37.47,volume>1.25xSMA30,189.58
79,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop1.1_target1.5_hold24_short_only_volume>1.25xSMA30,1h,10,90.00,1319.56,13.20,1079.24,10.79,14.00,8.96,1.250,-101.50,1,37.47,volume>1.25xSMA30,189.58
80,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop1.1_target1.5_hold48_short_only_volume>1.25xSMA30,1h,10,90.00,1319.56,13.20,1079.24,10.79,14.00,8.96,1.250,-101.50,1,37.47,volume>1.25xSMA30,189.58
81,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop1.1_target1.5_hold96_short_only_volume>1.25xSMA30,1h,10,90.00,1319.56,13.20,1079.24,10.79,14.00,8.96,1.250,-101.50,1,37.47,volume>1.25xSMA30,189.58
82,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target2_hold24_short_only_volume>1.25xSMA30,1h,8,87.50,1371.99,13.72,1169.87,11.70,14.72,9.05,1.625,-100.00,1,47.81,volume>1.25xSMA30,188.67
83,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target2_hold48_short_only_volume>1.25xSMA30,1h,8,87.50,1371.99,13.72,1169.87,11.70,14.72,9.05,1.625,-100.00,1,47.81,volume>1.25xSMA30,188.67
84,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target2_hold96_short_only_volume>1.25xSMA30,1h,8,87.50,1371.99,13.72,1169.87,11.70,14.72,9.05,1.625,-100.00,1,47.81,volume>1.25xSMA30,188.67
85,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop2_target2_hold12_all_none,1h,10,90.00,966.98,9.67,916.55,9.17,9.84,8.93,0.932,-109.34,1,64.79,none,187.07
86,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop2_target3.5_hold24_all_none,1h,8,75.00,1056.01,10.56,1015.19,10.15,10.32,9.20,1.274,-109.71,1,85.90,none,182.57
87,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop2_target1.5_hold96_all_none,1h,8,87.50,944.90,9.45,903.51,9.04,9.68,8.84,1.138,-108.92,1,50.94,none,180.88
88,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop2_target3.5_hold48_short_only_none,1h,10,70.00,2282.67,22.83,2162.79,21.63,10.13,8.20,2.095,-249.94,3,52.78,none,180.88
89,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target3.5_hold48_short_only_none,1h,13,76.92,3687.03,36.87,3268.79,32.69,11.64,7.50,2.462,-124.70,1,36.40,none,180.84
90,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target3.5_hold96_short_only_none,1h,13,76.92,3687.03,36.87,3268.79,32.69,11.64,7.50,2.462,-124.70,1,36.40,none,180.84
91,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop2_target2_hold24_all_none,1h,10,80.00,992.56,9.93,942.05,9.42,9.81,8.66,0.956,-109.08,1,63.30,none,180.53
92,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop2_target3.5_hold12_all_none,1h,8,87.50,997.33,9.97,956.62,9.57,10.10,9.25,1.207,-109.65,1,93.22,none,180.28
93,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop2_target2.5_hold96_short_only_none,1h,10,80.00,1941.57,19.42,1824.63,18.25,9.62,8.29,1.800,-225.15,2,43.91,none,179.92
94,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target3.5_hold12_short_only_none,1h,11,81.82,2205.04,22.05,1955.75,19.56,11.52,8.07,1.843,-109.64,1,54.03,none,178.00
95,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop1.1_target1.5_hold12_short_only_none,1h,8,87.50,987.46,9.87,916.91,9.17,10.03,8.72,1.187,-109.34,1,48.93,none,177.86
96,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop1.1_target1.5_hold24_short_only_none,1h,8,87.50,987.46,9.87,916.91,9.17,10.03,8.72,1.187,-109.34,1,48.93,none,177.86
97,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop1.1_target1.5_hold48_short_only_none,1h,8,87.50,987.46,9.87,916.91,9.17,10.03,8.72,1.187,-109.34,1,48.93,none,177.86
98,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop1.1_target1.5_hold96_short_only_none,1h,8,87.50,987.46,9.87,916.91,9.17,10.03,8.72,1.187,-109.34,1,48.93,none,177.86
99,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target2_hold12_short_only_none,1h,14,85.71,2183.84,21.84,1876.99,18.77,11.33,7.73,1.426,-111.47,1,32.18,none,174.77
100,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop1.1_target2_hold12_short_only_volume>1.25xSMA30,1h,8,87.50,1289.01,12.89,1087.77,10.88,13.89,8.48,1.532,-100.00,1,50.51,volume>1.25xSMA30,173.73
101,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop2_target2.5_hold24_short_only_none,1h,10,80.00,1401.41,14.01,1289.39,12.89,10.28,8.16,1.328,-109.88,1,56.87,none,171.51
102,BNBUSDT,atr_squeeze_continuation,ch55_cmp0.85_stop1.5_target2.5_hold12_short_only_none,1h,11,72.73,1732.11,17.32,1567.42,15.67,12.34,7.91,1.472,-152.69,3,48.58,none,170.10
103,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target3.5_hold24_short_only_none,1h,13,76.92,3456.38,34.56,3042.62,30.43,11.10,7.12,2.327,-122.59,1,38.18,none,169.09
104,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop2_target2_hold24_short_only_none,1h,10,80.00,1333.69,13.34,1222.58,12.23,9.94,7.87,1.266,-108.28,1,49.07,none,163.61
105,WIFUSDT,atr_squeeze_continuation,ch36_cmp0.7_stop0.8_target3.5_hold24_all_none,1h,8,75.00,1897.76,18.98,1788.75,17.89,9.13,7.78,2.214,-233.40,2,62.29,none,162.69
106,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop2_target1.5_hold24_short_only_none,1h,12,83.33,1356.51,13.57,1212.22,12.12,9.96,7.55,1.069,-110.11,1,36.62,none,159.57
107,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop2_target1.5_hold48_short_only_volume>1.25xSMA30,1h,8,87.50,987.46,9.87,893.93,8.94,10.17,7.94,1.187,-107.73,1,48.77,volume>1.25xSMA30,158.10
108,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop2_target1.5_hold96_short_only_volume>1.25xSMA30,1h,8,87.50,987.46,9.87,893.93,8.94,10.17,7.94,1.187,-107.73,1,48.77,volume>1.25xSMA30,158.10
109,BNBUSDT,atr_squeeze_continuation,ch55_cmp0.85_stop1.1_target3.5_hold12_short_only_none,1h,11,72.73,2457.71,24.58,2225.69,22.26,10.63,7.17,2.037,-255.19,3,50.05,none,157.85
110,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop2_target3.5_hold24_short_only_none,1h,9,77.78,1330.82,13.31,1225.55,12.26,9.86,7.84,1.409,-109.31,1,73.51,none,157.51
111,BNBUSDT,atr_squeeze_continuation,ch55_cmp0.85_stop1.5_target1.5_hold12_short_only_none,1h,12,83.33,1311.64,13.12,1137.01,11.37,11.88,7.46,1.036,-107.78,1,37.67,none,156.67
