rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
475,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.8_target2.5_hold32_short_only_none,1h,98,44.90,5190.39,51.90,4135.84,41.36,1.75,1.55,0.441,-1000.60,5,21.92,none,40.61
476,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2_hold32_long_only_none,1h,64,53.13,4503.13,45.03,3509.16,35.09,2.13,1.79,0.594,-854.30,5,18.84,none,40.60
477,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target2_hold64_long_only_none,1h,64,53.13,4503.13,45.03,3509.16,35.09,2.13,1.79,0.594,-854.30,5,18.84,none,40.60
478,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop1.5_target2.5_hold64_short_only_none,1h,82,40.24,3480.80,34.81,2986.42,29.86,1.61,1.49,0.379,-665.30,4,28.58,none,40.56
479,PEPEUSDT,range_expansion_breakout,ch12_rng0.9_stop1.3_target1.5_hold8_long_only_none,1h,74,56.76,3304.78,33.05,2676.26,26.76,1.87,1.66,0.393,-1084.45,4,18.42,none,40.55
480,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target2.5_hold8_all_none,1h,85,50.59,4451.96,44.52,3794.72,37.95,1.85,1.68,0.446,-1016.20,5,23.35,none,40.53
481,XRPUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target3_hold32_all_none,1h,68,41.18,4252.37,42.52,3620.51,36.21,1.89,1.71,0.540,-616.62,5,28.51,none,40.32
482,SOLUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2_hold24_short_only_none,1h,59,50.85,3533.99,35.34,2527.93,25.28,2.05,1.65,0.525,-487.84,4,22.09,none,40.25
483,SOLUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2_hold48_short_only_none,1h,59,50.85,3533.99,35.34,2527.93,25.28,2.05,1.65,0.525,-487.84,4,22.09,none,40.25
484,SOLUSDT,atr_squeeze_continuation,ch20_cmp1_stop0.8_target2_hold96_short_only_none,1h,59,50.85,3533.99,35.34,2527.93,25.28,2.05,1.65,0.525,-487.84,4,22.09,none,40.25
